# INL run
# wait_settle = 30
# samples_per_meter_per_step = 1
# NPLC = 100
vref,3458A_volt,J1281_volt
-10.25,-10.24994475,-10.2499972
-10.0,-9.999947018,-9.9999969
-9.75,-9.749948566,-9.7499968
-9.5,-9.499949864,-9.4999971
-9.25,-9.249951793,-9.2499971
-9.0,-8.999953516,-8.9999971
-8.75,-8.749955151,-8.7499965
-8.5,-8.499956421,-8.4999964
-8.25,-8.249957748,-8.2499956
-8.0,-7.99995871,-7.9999959
-7.75,-7.749959935,-7.7499949
-7.5,-7.499961102,-7.4999952
-7.25,-7.249962562,-7.2499952
-7.0,-6.999964021,-6.9999949
-6.75,-6.749964954,-6.7499939
-6.5,-6.499966985,-6.4999951
-6.25,-6.249968166,-6.2499945
-6.0,-5.999969655,-5.9999945
-5.75,-5.749970763,-5.7499943
-5.5,-5.499971974,-5.4999943
-5.25,-5.249972906,-5.2499943
-5.0,-4.999974586,-4.9999941
-4.75,-4.749975972,-4.7499938
-4.5,-4.499976743,-4.4999934
-4.25,-4.249978496,-4.2499937
-4.0,-3.999979121,-3.9999938
-3.75,-3.74998102,-3.7499941
-3.5,-3.499982406,-3.4999937
-3.25,-3.249983749,-3.2499935
-3.0,-2.999985238,-2.9999939
-2.75,-2.749986287,-2.7499936
-2.5,-2.499987498,-2.4999933
-2.25,-2.249988694,-2.2499935
-2.0,-1.999990022,-1.9999937
-1.75,-1.749991247,-1.7499936
-1.5,-1.499992238,-1.4999931
-1.25,-1.249993493,-1.2499934
-1.0,-0.9999953037,-0.9999939
-0.75,-0.7499965583,-0.7499936
-0.5,-0.4999976958,-0.4999932
-0.25,-0.2499986136,-0.2499934
0.0,3.661025009e-07,6.8e-06
0.25,0.2499998437,0.2500066
0.5,0.4999984866,0.5000067
0.75,0.7499976127,0.7500067
1.0,0.9999961091,1.0000068
1.25,1.249994474,1.2500064
1.5,1.499993175,1.5000062
1.75,1.749992126,1.7500058
2.0,1.999990578,2.0000063
2.25,2.249989309,2.2500058
2.5,2.499987952,2.5000061
2.75,2.749986917,2.7500065
3.0,2.999985486,3.0000063
3.25,3.24998388,3.2500062
3.5,3.499983226,3.5000062
3.75,3.749981635,3.7500064
4.0,3.999979999,4.0000057
4.25,4.249978847,4.2500057
4.5,4.499977622,4.5000058
4.75,4.749976192,4.7500057
5.0,4.999975083,5.0000058
5.25,5.249973829,5.2500061
5.5,5.499971959,5.5000058
5.75,5.749970661,5.7500055
6.0,5.99996967,6.000006
6.25,6.249968649,6.2500058
6.5,6.49996716,6.5000061
6.75,6.749966111,6.7500063
7.0,6.999965003,7.0000066
7.25,7.249963426,7.2500062
7.5,7.499961878,7.5000066
7.75,7.749959935,7.7500062
8.0,7.99995934,8.0000067
8.25,8.249958466,8.2500068
8.5,8.499956523,8.5000073
8.75,8.749955298,8.7500071
9.0,8.999954043,9.000007
9.25,9.249953301,9.2500068
9.5,9.499950933,9.5000074
9.75,9.749950265,9.7500075
10.0,9.999948615,10.0000072
10.25,10.24994843,10.2500082
