# INL run
# wait_settle = 15
# samples_per_meter_per_step = 1
# NPLC = 100vref,3458A_volt,J1281_volt
-10.25,-10.25004225,-10.2499982
-10.0,-10.00004189,-9.9999981
-9.75,-9.750040897,-9.7499973
-9.5,-9.500039641,-9.4999962
-9.25,-9.250039777,-9.2499969
-9.0,-9.000039004,-8.9999968
-8.75,-8.75003832,-8.7499963
-8.5,-8.500037562,-8.4999958
-8.25,-8.250036481,-8.2499954
-8.0,-8.000036148,-7.9999953
-7.75,-7.750035082,-7.7499955
-7.5,-7.500034485,-7.4999951
-7.25,-7.250034226,-7.2499949
-7.0,-7.00003316,-6.9999944
-6.75,-6.750032768,-6.7499948
-6.5,-6.500032113,-6.4999942
-6.25,-6.250031941,-6.2499946
-6.0,-6.000030538,-5.9999944
-5.75,-5.750029912,-5.7499944
-5.5,-5.500029872,-5.4999946
-5.25,-5.250028997,-5.2499948
-5.0,-5.000027769,-4.9999939
-4.75,-4.75002707,-4.7499939
-4.5,-4.500026678,-4.4999939
-4.25,-4.250025818,-4.2499941
-4.0,-4.000025456,-3.9999941
-3.75,-3.750025269,-3.7499946
-3.5,-3.500024277,-3.4999943
-3.25,-3.25002368,-3.2499947
-3.0,-3.000022614,-2.9999943
-2.75,-2.750021797,-2.7499944
-2.5,-2.500021024,-2.499994
-2.25,-2.250020281,-2.2499946
-2.0,-2.000019596,-1.9999945
-1.75,-1.750018897,-1.7499943
-1.5,-1.500017933,-1.4999942
-1.25,-1.250017351,-1.2499942
-1.0,-1.000017194,-0.9999945
-0.75,-0.7500162309,-0.7499949
-0.5,-0.5000153116,-0.4999947
-0.25,-0.2500139085,-0.2499946
0.0,-1.276921845e-05,6.2e-06
0.25,0.2499883554,0.2500059
0.5,0.4999892454,0.5000065
0.75,0.7499901207,0.7500058
1.0,0.9999907029,1.000006
1.25,1.249991109,1.2500056
1.5,1.49999194,1.5000057
1.75,1.749992361,1.7500054
2.0,1.99999331,2.0000051
2.25,2.24999398,2.2500054
2.5,2.499994738,2.500005
2.75,2.749995672,2.7500046
3.0,2.999996313,3.0000051
3.25,3.2499971,3.250005
3.5,3.499997917,3.5000058
3.75,3.749998778,3.7500048
4.0,3.999998949,4.0000051
4.25,4.249999796,4.2500049
4.5,4.50000029,4.5000051
4.75,4.75000115,4.7500054
5.0,5.000002026,5.0000054
5.25,5.250003092,5.2500056
5.5,5.500003439,5.5000054
5.75,5.750003933,5.7500053
6.0,6.000004442,6.0000052
6.25,6.250005288,6.2500049
6.5,6.500005988,6.5000055
6.75,6.750006555,6.7500056
7.0,7.000007401,7.0000058
7.25,7.250007983,7.2500055
7.5,7.500008346,7.5000057
7.75,7.750009485,7.7500053
8.0,8.000010243,8.0000063
8.25,8.250010503,8.2500062
8.5,8.500011275,8.5000062
8.75,8.75001196,8.7500066
9.0,9.000012953,9.0000067
9.25,9.250013491,9.2500067
9.5,9.500014102,9.5000064
9.75,9.750014435,9.7500072
10.0,10.00001543,10.0000073
10.25,10.25001585,10.2500071
