# INL run
# wait_settle = 15
# samples_per_meter_per_step = 1
# NPLC = 100vref,3458A_volt,3458B_volt,J1281_volt
-10.25,-10.24996133,-10.25005029,-10.250005
-10.0,-9.999962255,-10.00004959,-10.0000044
-9.75,-9.749964015,-9.750048772,-9.7500043
-9.5,-9.499964033,-9.500047966,-9.5000042
-9.25,-9.249964388,-9.250047176,-9.250004
-9.0,-8.999965665,-9.000046635,-9.0000045
-8.75,-8.749966356,-8.750045698,-8.7500041
-8.5,-8.49996778,-8.500044951,-8.5000042
-8.25,-8.249969525,-8.250044102,-8.250004
-8.0,-7.999970246,-8.000043019,-8.0000043
-7.75,-7.749971099,-7.750042639,-7.7500042
-7.5,-7.499972024,-7.500041834,-7.5000047
-7.25,-7.249973184,-7.250041644,-7.2500051
-7.0,-6.999974374,-7.000040605,-7.0000049
-6.75,-6.749974845,-6.750040093,-6.7500053
-6.5,-6.499975961,-6.500038818,-6.5000048
-6.25,-6.249977136,-6.250038072,-6.250005
-6.0,-5.999978252,-6.000037677,-6.000005
-5.75,-5.74997868,-5.750036476,-5.750005
-5.5,-5.499980059,-5.500035627,-5.5000058
-5.25,-5.249980443,-5.250034558,-5.2500058
-5.0,-4.999982438,-5.000033489,-5.0000058
-4.75,-4.749983378,-4.750033227,-4.7500061
-4.5,-4.499984026,-4.500032114,-4.5000063
-4.25,-4.249985391,-4.250031411,-4.2500065
-4.0,-3.999986214,-4.000030562,-4.0000065
-3.75,-3.749986876,-3.750029478,-3.7500069
-3.5,-3.499988095,-3.500029025,-3.5000066
-3.25,-3.249988962,-3.250027986,-3.2500067
-3.0,-2.999989653,-3.000026799,-3.0000072
-2.75,-2.749990696,-2.750026185,-2.7500077
-2.5,-2.499991505,-2.500025321,-2.5000073
-2.25,-2.249992826,-2.250024662,-2.2500082
-2.0,-1.999993576,-2.000023755,-2.0000087
-1.75,-1.749994941,-1.750023126,-1.7500081
-1.5,-1.499995793,-1.500022233,-1.5000091
-1.25,-1.24999647,-1.25002131,-1.2500091
-1.0,-0.9999971027,-1.000020197,-1.0000091
-0.75,-0.7499981309,-0.7500191282,-0.7500097
-0.5,-0.4999992176,-0.5000183671,-0.5000098
-0.25,-0.2499995722,-0.2500171368,-0.2500096
0.0,-3.22170285e-07,-1.565732064e-05,-9.8e-06
0.25,0.2499991475,0.2499855436,0.2499901
0.5,0.4999983097,0.4999866126,0.4999904
0.75,0.7499973254,0.7499875936,0.7499898
1.0,0.9999965315,0.9999882668,0.9999897
1.25,1.249995987,1.249989204,1.2499898
1.5,1.499994871,1.49999017,1.4999893
1.75,1.749993828,1.749990785,1.7499891
2.0,1.999992917,1.999991971,1.999989
2.25,2.249991625,2.249992937,2.2499888
2.5,2.499990231,2.499993801,2.4999886
2.75,2.74998951,2.749994636,2.7499878
3.0,2.999988526,2.999995147,2.9999873
3.25,3.249987453,3.24999626,3.2499876
3.5,3.499986411,3.499996963,3.4999872
3.75,3.749985617,3.749997915,3.7499875
4.0,3.999985101,3.99999894,3.9999868
4.25,4.249983853,4.250000126,4.2499869
4.5,4.499983528,4.500000726,4.4999868
4.75,4.749982251,4.750002015,4.749987
5.0,4.999981384,5.00000282,4.9999871
5.25,5.249980517,5.250003244,5.2499864
5.5,5.499979108,5.500003814,5.4999858
5.75,5.749978387,5.750004971,5.7499861
6.0,5.999977198,6.000006069,5.9999862
6.25,6.24997614,6.250006625,6.2499859
6.5,6.499975551,6.50000746,6.4999858
6.75,6.74997508,6.750008587,6.7499857
7.0,6.999973773,7.00000929,6.9999862
7.25,7.249972364,7.250010447,7.2499863
7.5,7.499971878,7.500011017,7.4999858
7.75,7.749971128,7.750011749,7.7499855
8.0,7.999969777,8.000012364,7.9999853
8.25,8.249968178,8.250013506,8.2499851
8.5,8.499967736,8.500014575,8.4999853
8.75,8.74996659,8.750015644,8.7499848
9.0,8.999965342,9.000015965,8.9999855
9.25,9.249964768,9.250016902,9.2499851
9.5,9.499963608,9.500018074,9.4999852
9.75,9.749962829,9.750018439,9.7499845
10.0,9.999961889,10.00001977,9.9999857
10.25,10.24996124,10.25002024,10.249985
