# INL run
# wait_settle = 15
# samples_per_meter_per_step = 1
# NPLC = 100
vref,3458A_volt,3458B_volt,CH1281_volt
-10.25,-10.24997895,-4.673910558,-1.99999999e+35
-10.0,-9.999980134,-4.753271486,-1.99999999e+35
-9.75,-9.749980644,-4.791628438,-1.99999999e+35
-9.5,-9.499981887,-4.815467591,-1.99999999e+35
-9.25,-9.249982412,-4.835852795,-1.99999999e+35
-9.0,-8.999982074,-4.851998221,-1.99999999e+35
-8.75,-8.749983331,-4.866607002,-1.99999999e+35
-8.5,-8.49998431,-4.878326728,-1.99999999e+35
-8.25,-8.249985421,-4.892387223,-1.99999999e+35
-8.0,-7.999985419,-4.906629919,-1.99999999e+35
-7.75,-7.74998593,-4.923597017,-1.99999999e+35
-7.5,-7.499987187,-4.94010872,-1.99999999e+35
-7.25,-7.249987742,-4.950892217,-1.99999999e+35
-7.0,-6.999988296,-4.962221961,-1.99999999e+35
-6.75,-6.749989524,-4.972297184,-1.99999999e+35
-6.5,-6.499989918,-4.983088187,-1.99999999e+35
-6.25,-6.249990267,-4.993566895,-1.99999999e+35
-6.0,-5.99999047,-5.007259619,-1.99999999e+35
-5.75,-5.749991859,-5.01730992,-1.99999999e+35
-5.5,-5.499991916,-5.0270509,-1.99999999e+35
-5.25,-5.249992661,-5.036967263,-1.99999999e+35
-5.0,-4.999993391,-5.044392822,-1.99999999e+35
-4.75,-4.749994385,-5.048203899,-1.99999999e+35
-4.5,-4.499994617,-5.053711685,-1.99999999e+35
-4.25,-4.249995274,-5.060161329,-1.99999999e+35
-4.0,-3.999996019,-5.069298887,-1.99999999e+35
-3.75,-3.749996354,-5.077931379,-1.99999999e+35
-3.5,-3.499997099,-5.08298843,-1.99999999e+35
-3.25,-3.24999821,-5.088629215,-1.99999999e+35
-3.0,-2.999998589,-5.093927386,-1.99999999e+35
-2.75,-2.749999114,-5.10209636,-1.99999999e+35
-2.5,-2.49999961,-5.110278953,-1.99999999e+35
-2.25,-2.250000457,-5.114724591,-1.99999999e+35
-2.0,-2.000000367,-5.117693794,-1.99999999e+35
-1.75,-1.7500012,-5.120345775,-1.99999999e+35
-1.5,-1.500002018,-5.120059003,-1.99999999e+35
-1.25,-1.25000266,-5.120930697,-1.99999999e+35
-1.0,-1.000002659,-5.124286304,-1.99999999e+35
-0.75,-0.7500029933,-5.132017342,-1.99999999e+35
-0.5,-0.5000038407,-5.136684675,-1.99999999e+35
-0.25,-0.250004117,-5.138965337,-1.99999999e+35
0.0,-3.734257717e-06,-5.140543414,-1.99999999e+35
0.25,0.249996092,-5.141706278,-1.99999999e+35
0.5,0.4999966358,-5.146724508,-1.99999999e+35
0.75,0.7499964913,-5.151944129,-1.99999999e+35
1.0,0.9999958929,-5.154785508,-1.99999999e+35
1.25,1.24999528,-5.155324029,-1.99999999e+35
1.5,1.49999515,-5.154905064,-1.99999999e+35
1.75,1.749994376,-5.157156009,-1.99999999e+35
2.0,1.999993982,-5.157419779,-1.99999999e+35
2.25,2.249994175,-5.157293231,-1.99999999e+35
2.5,2.499993196,-5.159053521,-1.99999999e+35
2.75,2.749992875,-5.160328992,-1.99999999e+35
3.0,2.999992248,-5.161629561,-1.99999999e+35
3.25,3.249992133,-5.161170412,-1.99999999e+35
3.5,3.499991329,-5.161235695,-1.99999999e+35
3.75,3.749990804,-5.160801614,-1.99999999e+35
4.0,3.999990308,-5.158036983,-1.99999999e+35
4.25,4.24998949,-5.156784324,-1.99999999e+35
4.5,4.49998895,-5.160294159,-1.99999999e+35
4.75,4.749988176,-5.162706574,-1.99999999e+35
5.0,4.999988354,-5.168587277,-1.99999999e+35
5.25,5.249987623,-5.174616885,-1.99999999e+35
5.5,5.499987069,-5.177119931,-1.99999999e+35
5.75,5.749987173,-5.18006339,-1.99999999e+35
6.0,5.999986223,-5.184427136,-1.99999999e+35
6.25,6.249985068,-5.187942498,-1.99999999e+35
6.5,6.499984587,-5.192072308,-1.99999999e+35
6.75,6.749984706,-5.192970273,-1.99999999e+35
7.0,6.999983888,-5.193903393,-1.99999999e+35
7.25,7.249983202,-5.194281134,-1.99999999e+35
7.5,7.499982735,-5.19933021,-1.99999999e+35
7.75,7.749982444,-5.203126275,-1.99999999e+35
8.0,7.999981495,-5.205286897,-1.99999999e+35
8.25,8.249981116,-5.207993401,-1.99999999e+35
8.5,8.499980781,-5.211186248,-1.99999999e+35
8.75,8.749980373,-5.214629408,-1.99999999e+35
9.0,8.999979584,-5.218506721,-1.99999999e+35
9.25,9.249979791,-5.223240334,-1.99999999e+35
9.5,9.49997909,-5.225840945,-1.99999999e+35
9.75,9.74997855,-5.224014727,-1.99999999e+35
10.0,9.999978054,-5.224779927,-1.99999999e+35
10.25,10.24997693,-5.22821432,-1.99999999e+35
